sentence,word,label
Aaj ka din bohot busy tha,Aaj,URD
Aaj ka din bohot busy tha,ka,URD
Aaj ka din bohot busy tha,din,URD
Aaj ka din bohot busy tha,bohot,URD
Aaj ka din bohot busy tha,busy,ENG
Aaj ka din bohot busy tha,tha,URD
Yaar seriously I can not even right now,Yaar,URD
Yaar seriously I can not even right now,seriously,ENG
Yaar seriously I can not even right now,I,ENG
Yaar seriously I can not even right now,can,ENG
Yaar seriously I can not even right now,not,ENG
Yaar seriously I can not even right now,even,ENG
Yaar seriously I can not even right now,right,ENG
Yaar seriously I can not even right now,now,ENG
Bhaai mera ChatGPT pagal hogeya hai,Bhaai,URD
Bhaai mera ChatGPT pagal hogeya hai,mera,URD
Bhaai mera ChatGPT pagal hogeya hai,ChatGPT,ENG
Bhaai mera ChatGPT pagal hogeya hai,pagal,URD
Bhaai mera ChatGPT pagal hogeya hai,hogeya,URD
Bhaai mera ChatGPT pagal hogeya hai,hai,URD
Society page ki profile ky liye,Society,ENG
Society page ki profile ky liye,page,ENG
Society page ki profile ky liye,ki,URD
Society page ki profile ky liye,profile,ENG
Society page ki profile ky liye,ky,URD
Society page ki profile ky liye,liye,URD
Muje smj aai hotiii to mein depression mein hoti,Muje,URD
Muje smj aai hotiii to mein depression mein hoti,smj,URD
Muje smj aai hotiii to mein depression mein hoti,aai,URD
Muje smj aai hotiii to mein depression mein hoti,hotiii,URD
Muje smj aai hotiii to mein depression mein hoti,to,URD
Muje smj aai hotiii to mein depression mein hoti,mein,URD
Muje smj aai hotiii to mein depression mein hoti,depression,ENG
Muje smj aai hotiii to mein depression mein hoti,mein,URD
Muje smj aai hotiii to mein depression mein hoti,hoti,URD
Comment kro post par,Comment,ENG
Comment kro post par,kro,URD
Comment kro post par,post,ENG
Comment kro post par,par,URD
Comment kis cheez k baray mai,Comment,ENG
Comment kis cheez k baray mai,kis,URD
Comment kis cheez k baray mai,cheez,URD
Comment kis cheez k baray mai,k,URD
Comment kis cheez k baray mai,baray,URD
Comment kis cheez k baray mai,mai,URD
U guyz giving presentation on Saturday or Sunday,U,ENG
U guyz giving presentation on Saturday or Sunday,guyz,ENG
U guyz giving presentation on Saturday or Sunday,giving,ENG
U guyz giving presentation on Saturday or Sunday,presentation,ENG
U guyz giving presentation on Saturday or Sunday,on,ENG
U guyz giving presentation on Saturday or Sunday,Saturday,ENG
U guyz giving presentation on Saturday or Sunday,or,ENG
U guyz giving presentation on Saturday or Sunday,Sunday,ENG
I will send yours babe,I,ENG
I will send yours babe,will,ENG
I will send yours babe,send,ENG
I will send yours babe,yours,ENG
I will send yours babe,babe,ENG
Hum free nhi hain,Hum,URD
Hum free nhi hain,free,ENG
Hum free nhi hain,nhi,URD
Hum free nhi hain,hain,URD
Apni koi random group photo share kr dain sb aik,Apni,URD
Apni koi random group photo share kr dain sb aik,koi,URD
Apni koi random group photo share kr dain sb aik,random,ENG
Apni koi random group photo share kr dain sb aik,group,ENG
Apni koi random group photo share kr dain sb aik,photo,ENG
Apni koi random group photo share kr dain sb aik,share,ENG
Apni koi random group photo share kr dain sb aik,kr,URD
Apni koi random group photo share kr dain sb aik,dain,URD
Apni koi random group photo share kr dain sb aik,sb,URD
Apni koi random group photo share kr dain sb aik,aik,URD
Sai ha boss,Sai,URD
Sai ha boss,ha,URD
Sai ha boss,boss,ENG
Baji sending you and your loved ones my warmest wishes meri dost,Baji,URD
Baji sending you and your loved ones my warmest wishes meri dost,sending,ENG
Baji sending you and your loved ones my warmest wishes meri dost,you,ENG
Baji sending you and your loved ones my warmest wishes meri dost,and,ENG
Baji sending you and your loved ones my warmest wishes meri dost,your,ENG
Baji sending you and your loved ones my warmest wishes meri dost,loved,ENG
Baji sending you and your loved ones my warmest wishes meri dost,ones,ENG
Baji sending you and your loved ones my warmest wishes meri dost,my,ENG
Baji sending you and your loved ones my warmest wishes meri dost,warmest,ENG
Baji sending you and your loved ones my warmest wishes meri dost,wishes,ENG
Baji sending you and your loved ones my warmest wishes meri dost,meri,URD
Baji sending you and your loved ones my warmest wishes meri dost,dost,URD
Lead generation ka Kitna experience,Lead,ENG
Lead generation ka Kitna experience,generation,ENG
Lead generation ka Kitna experience,ka,URD
Lead generation ka Kitna experience,Kitna,URD
Lead generation ka Kitna experience,experience,ENG
Abhi soft form mai mujhy bhej do CamScanner se,Abhi,URD
Abhi soft form mai mujhy bhej do CamScanner se,soft,ENG
Abhi soft form mai mujhy bhej do CamScanner se,form,ENG
Abhi soft form mai mujhy bhej do CamScanner se,mai,URD
Abhi soft form mai mujhy bhej do CamScanner se,mujhy,URD
Abhi soft form mai mujhy bhej do CamScanner se,bhej,URD
Abhi soft form mai mujhy bhej do CamScanner se,do,URD
Abhi soft form mai mujhy bhej do CamScanner se,CamScanner,ENG
Abhi soft form mai mujhy bhej do CamScanner se,se,URD
Submit krwane ke lie khud jana,Submit,ENG
Submit krwane ke lie khud jana,krwane,URD
Submit krwane ke lie khud jana,ke,URD
Submit krwane ke lie khud jana,lie,URD
Submit krwane ke lie khud jana,khud,URD
Submit krwane ke lie khud jana,jana,URD
Bs kuch nai chutti enjoys,Bs,URD
Bs kuch nai chutti enjoys,kuch,URD
Bs kuch nai chutti enjoys,nai,URD
Bs kuch nai chutti enjoys,chutti,URD
Bs kuch nai chutti enjoys,enjoys,ENG
Because us pr real jobs hoti,Because,ENG
Because us pr real jobs hoti,us,URD
Because us pr real jobs hoti,pr,URD
Because us pr real jobs hoti,real,ENG
Because us pr real jobs hoti,jobs,ENG
Because us pr real jobs hoti,hoti,URD
Khana k document mai deti hun,Khana,URD
Khana k document mai deti hun,k,URD
Khana k document mai deti hun,document,ENG
Khana k document mai deti hun,mai,URD
Khana k document mai deti hun,deti,URD
Khana k document mai deti hun,hun,URD
Laikin first is the last date registration ki,Laikin,URD
Laikin first is the last date registration ki,first,ENG
Laikin first is the last date registration ki,is,ENG
Laikin first is the last date registration ki,the,ENG
Laikin first is the last date registration ki,last,ENG
Laikin first is the last date registration ki,date,ENG
Laikin first is the last date registration ki,registration,ENG
Laikin first is the last date registration ki,ki,URD
Funny horhy ho ap,Funny,ENG
Funny horhy ho ap,horhy,URD
Funny horhy ho ap,ho,URD
